County_FIPS,Proportional_allocation_to_Medicaid_demand,Medicaid_demand,Normalized_Medicaid_demand,Proportional_allocation_to_Medicaid_capita,Medicaid_capita,Normalized_Medicaid_capita,Proportional_allocation_to_Covid,Covid,Normalized_Covid,Proportional_allocation_to_SVI,SVI,Normalized_SVI,Proportional_allocation_to_YPLL,YPLL,Normalized_YPLL,Proportional_allocation_to_Unemployment,Unemployment,Normalized_Unemployment,Proportional_allocation_to_Covid_capita,Covid_capita,Normalized_Covid_capita,Proportional_allocation_to_Covid_death_capita,Covid_death_capita,Normalized_Covid_death_capita,Proportional_allocation_to_Covid_med,Covid_med,Normalized_Covid_med,Proportional_allocation_to_SVI_med,SVI_med,Normalized_SVI_med,Proportional_allocation_to_YPLL_med,YPLL_med,Normalized_YPLL_med,Proportional_allocation_to_Covid_capita_med,Covid_capita_med,Normalized_Covid_capita_med,Proportional_allocation_to_Covid_death_capita_med,Covid_death_capita_med,Normalized_Covid_death_capita_med,Proportional_allocation_to_Unemployment_med,Unemployment_med,Normalized_Unemployment_med
39039,98.99882016,31.34545455,0.012671554,338.2557077,354.8812885,0.347975942,111.6929211,40,0.018545632,233.7215732,0.284090909,0.275862069,369.9912845,5667,0.398549107,101.846707,367,0.013481505,399.5109794,105.0227112,0.160867122,179.929785,136.5295245,0.079665561,83.43405632,40.50686215,0.010238221,212.6075931,0.287690782,0.140305957,346.5642607,7793.520279,0.253648573,374.5011257,106.3535121,0.160387175,163.5444823,138.2595657,0.079185518,75.01986318,1831.922841,0.006841893
39043,220.1571825,2090.109091,0.037679319,385.7755562,404.7367815,0.426322888,312.7401792,112,0.053684724,420.6988318,0.511363636,0.505747126,460.1333919,5608,0.6078125,270.0148186,367,0.044649658,573.6849848,150.8092532,0.24116761,709.8170734,538.6044758,0.314278013,239.3844523,116.2200837,0.030371809,392.1442277,0.53063147,0.263919176,441.6422176,9931.628762,0.40743679,551.0518212,156.4916432,0.246837893,661.1101535,558.8987257,0.320098539,203.8034004,4976.710014,0.023205056
39045,428.448889,435.1818182,0.080671895,353.8395239,371.2310637,0.373669298,519.3720833,186,0.089799902,327.2102025,0.397727273,0.390804598,329.8960751,7085,0.30546875,393.8748272,368,0.067605781,449.0284706,118.0397781,0.183696469,384.7244215,291.926333,0.170340263,414.0202252,201.0049724,0.052917726,317.6377074,0.429812685,0.212620505,329.7574947,7415.570542,0.226463696,449.1832289,127.5622707,0.196956396,373.1709573,315.4765834,0.18068317,309.6084091,7560.380575,0.03664858
39051,114.5531142,63.18181818,0.015882047,353.8739205,371.2671509,0.373726008,72.60039874,26,0.011713031,224.3727103,0.272727273,0.264367816,377.1545773,5607,0.415178571,114.6268079,370,0.015850159,234.7840653,61.7196031,0.084922084,40.66957295,30.85980155,0.018006826,54.40406987,26.41293323,0.006490377,204.7503623,0.27705874,0.134896156,354.3939815,7969.594661,0.266313115,220.7840529,62.69983675,0.085117286,37.08319307,31.34991838,0.017955065,84.70131432,2068.335848,0.008072012
39053,132.2780846,21.29090909,0.019540581,575.7548973,604.0537829,0.739545713,136.8238284,49,0.022938019,588.9783645,0.715909091,0.712643678,608.5914333,5939,0.952455357,69.02380476,370,0.007398132,623.4468517,163.8905612,0.264109622,101.3823098,76.92822262,0.044887947,102.8999948,49.95748845,0.012751323,539.4053102,0.72989837,0.365310273,573.9235173,12906.36421,0.621401266,588.3825043,167.093078,0.265117427,92.77499142,78.43144476,0.044920108,51.1875186,1249.956752,0.003813769
39055,120.9186558,35.27272727,0.017195931,168.0281505,176.2868894,0.067318286,103.3159521,37,0.017081503,196.3261215,0.238636364,0.229885057,263.6476357,6398,0.151674107,257.3473178,370,0.042301873,150.2948411,39.50923128,0.04596951,830.2814797,630.0120663,0.367614733,77.52130845,37.63624944,0.009474871,179.3882778,0.242739938,0.117434043,248.0573871,5578.302485,0.094314097,141.5156548,40.18862929,0.046302316,758.0436068,640.8457102,0.367032104,190.4078835,4649.6026,0.021503029
39057,404.4515963,738.0909091,0.075718719,311.5542334,326.8674121,0.303952675,469.1102688,168,0.081015129,280.4658878,0.340909091,0.333333333,317.2040664,6821,0.276004464,411.2715284,371,0.070830073,378.2944744,99.44535537,0.15108555,133.3975385,101.2211653,0.059062983,372.2397638,180.7207448,0.047523763,271.0130054,0.366722291,0.180518814,315.6175481,7097.592108,0.203592388,376.6903732,106.9752303,0.161459173,128.7984885,108.8855023,0.062362086,321.8014795,7858.125242,0.038197824
39059,153.7451411,43.61818182,0.023971501,514.662918,539.9590763,0.638822117,27.92323029,10,0.003904344,682.4669938,0.829545455,0.827586207,454.3162212,5550,0.594308036,111.7555077,371,0.015317994,97.85321333,25.72347267,0.021792031,308.4945341,234.0836013,0.136588782,21.09126488,10.23971501,0.00218961,627.7415587,0.849430905,0.426130885,430.298451,9676.530688,0.389088293,92.75103382,26.34010293,0.022423982,283.530359,239.6949367,0.137280683,83.2372016,2032.58343,0.007885983
39063,179.6068183,105.3818182,0.029309497,308.4202655,323.5794068,0.298785638,248.5167495,89,0.042459736,243.0704361,0.295454545,0.287356322,375.7603794,4658,0.411941964,216.4172149,372,0.034715918,446.7491211,117.4405869,0.182645606,79.99494081,60.6996292,0.035418493,188.6908072,91.60854519,0.023827132,224.7447105,0.304114169,0.148662515,357.7508174,8045.083025,0.271742784,425.6625908,120.8827114,0.18543916,73.90481353,62.47870478,0.035783481,162.0311255,3956.665705,0.017897494
39065,104.2057799,209.8,0.0137463,432.3529207,453.6034665,0.503115941,97.731306,35,0.016105417,392.652243,0.477272727,0.471264368,415.3748308,5330,0.50390625,83.09880574,373,0.010006782,424.4907648,111.5893512,0.172383703,663.8780021,503.7462139,0.293938069,73.08227908,35.48112048,0.008901781,357.5598314,0.483833461,0.240107386,389.4871454,8758.768028,0.323076168,398.3394558,113.1232918,0.172059974,604.0623736,510.6708603,0.292476953,61.27519889,1496.289538,0.005095504
